"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label"
"b_zi_independent",0.2548662679885,0.245625,1.02780588850799,-1.74691575,-1.4015545,1.930908,2.3347695,"zero-inflated","Independent"
"b_zi_Intercept",1.416131610625,1.406975,0.459772785955563,0.5372157,0.6664273,2.1690145,2.32655875,"zero-inflated","Intercept"
"b_zi_mask_mandate",-0.318478191095,-0.3195785,0.117804382071507,-0.54580605,-0.50927315,-0.1238486,-0.0824673825,"zero-inflated","State mask mandate"
"b_zi_republican",-0.89439395176205,-0.887603,0.655356098018372,-2.157264,-1.9438805,0.16765525,0.372639125,"zero-inflated","Republican"
"b_zi_scaleage",0.16709039654595,0.1688785,0.124562341119198,-0.08321256,-0.04194926,0.3711336,0.4173752,"zero-inflated","Age"
"b_zi_scaleage65_prop",0.00870327499255,0.008613915,0.136224373708647,-0.25903365,-0.214715,0.23207675,0.2730355,"zero-inflated","Proportion over 65"
"b_zi_scalecases_norm_l1",-0.0909809660549,-0.0917163,0.0631327873207586,-0.211661075,-0.1927602,0.013640265,0.0313152975,"zero-inflated","Cases"
"b_zi_scaledeaths_norm_l1",0.503112664075,0.4784215,0.209312272854532,0.1610987,0.20037855,0.87700055,0.963330075,"zero-inflated","Deaths"
"b_zi_scaledpres",0.03392358074775,0.02980995,0.326253519127743,-0.58702735,-0.4953953,0.5782655,0.6850209,"zero-inflated","Clinton vote share"
"b_zi_scalefollowers",0.03299661124395,0.0315287,0.138207335581617,-0.236657775,-0.1933748,0.259526,0.3059082,"zero-inflated","Followers"
"b_zi_scalemargin_pc",-0.01042267674408,-0.0111233,0.115815844102969,-0.242360825,-0.19784785,0.18127955,0.2183045,"zero-inflated","Margin of victory"
"b_zi_scalemedianIncomeE",0.028581217005675,0.02909925,0.172526386835807,-0.3084783,-0.24927705,0.31671095,0.366507,"zero-inflated","Median income"
"b_zi_scalenet_trump_vote",-0.257243084164,-0.2555365,0.379717045032354,-0.999765125,-0.8793447,0.3803283,0.491027675,"zero-inflated","Net Trump vote"
"b_zi_scalenokken_poole_dim1",0.597607690308,0.594043,0.354756115367022,-0.098046295,0.01771299,1.178832,1.28366175,"zero-inflated","Ideology (DW Nominate 1)"
"b_zi_scalenokken_poole_dim2",0.2510893557548,0.2527725,0.137956684099777,-0.0214256825,0.02059024,0.4753055,0.5178041,"zero-inflated","Ideology (DW Nominate 2)"
"b_zi_scaleVery.low.density",0.0259137706946,0.02870495,0.173017380162998,-0.3150211,-0.26161795,0.3075734,0.3593145,"zero-inflated","Population density "
"r_yr_wk__zi[2020_13,Intercept]",1.22982598575,1.220465,0.309082457753736,0.6432237,0.7243786,1.750742,1.8504925,"zero-inflated","CDC (offset)"
"r_yr_wk__zi[2020_21,Intercept]",0.1866305160845,0.182475,0.26239862811117,-0.314244725,-0.23478895,0.6264612,0.7104979,"zero-inflated","Biden mask (offset)"
"r_yr_wk__zi[2020_28,Intercept]",-0.633466196061,-0.6366565,0.258143490313836,-1.127061,-1.06245,-0.2085863,-0.123029275,"zero-inflated","Trump mask (offset)"
"r_yr_wk__zi[2020_44,Intercept]",-1.13322787925,-1.129615,0.254340682229553,-1.64534875,-1.5530915,-0.7193534,-0.64541435,"zero-inflated","Election (offset)"
"r_yr_wk[2020_13,Intercept]",-0.248470502491475,-0.2451725,0.252395096588426,-0.754622075,-0.6688122,0.16126175,0.236039075,"beta","CDC (offset)"
"r_yr_wk[2020_21,Intercept]",0.099164169806375,0.0995029,0.183845560626697,-0.2686117,-0.20181225,0.40195875,0.467866025,"beta","Biden mask (offset)"
"r_yr_wk[2020_28,Intercept]",0.393787562005,0.393036,0.151582443910943,0.103898275,0.15067745,0.6495513,0.694548425,"beta","Trump mask (offset)"
"r_yr_wk[2020_44,Intercept]",0.3581862279825,0.3574045,0.140158179704318,0.083755605,0.13218175,0.5926556,0.634995825,"beta","Election (offset)"
