"variable","post_mean","post_median","sd","lower95","lower90","upper90","upper95","model","label"
"b_zi_scalecases_norm_l1",0.0171070200891225,0.01660295,0.0290916141579309,-0.039441465,-0.029676155,0.066568625,0.0756057125,"zero-inflated","Cases"
"b_zi_scaledeaths_norm_l1",0.067901495078875,0.06438025,0.0392044029017543,0.000589060725,0.0100472035,0.13876115,0.1564716,"zero-inflated","Deaths"
"b_zi_scaledpres",-0.02881209169665,-0.03042275,0.262283479338552,-0.518514625,-0.45025235,0.41163305,0.495925,"zero-inflated","Clinton vote share"
"b_zi_scalefollowers",0.145651126055,0.1458675,0.0454481129485691,0.057042595,0.07227024,0.2219306,0.23693345,"zero-inflated","Followers"
"b_zi_scalemargin_pc",0.06691549471195,0.0668714,0.0487718079025476,-0.0277874075,-0.0120637,0.14656995,0.16161885,"zero-inflated","Margin of victory"
"b_zi_scalemedianIncomeE",-0.09704867242,-0.09691775,0.0436397048630589,-0.1828751,-0.16770755,-0.023537475,-0.011358905,"zero-inflated","Median income"
"b_zi_scalenet_trump_vote",0.169644939473,0.170735,0.270586388341167,-0.345357425,-0.2593421,0.62030215,0.713673,"zero-inflated","Net Trump vote"
"b_zi_scalenokken_poole_dim1",0.033526927783425,0.03488635,0.140066490459199,-0.24245115,-0.19846,0.2619926,0.308069225,"zero-inflated","Ideology (DW Nominate 1)"
"b_zi_scalenokken_poole_dim2",-0.096135865611425,-0.09612155,0.0453897490198817,-0.18441445,-0.1718166,-0.0203743900000001,-0.00475267124999998,"zero-inflated","Ideology (DW Nominate 2)"
"b_zi_scaleVery.low.density",-0.004044618989775,-0.004090185,0.0604575883252035,-0.122360025,-0.10186005,0.096734735,0.1117737,"zero-inflated","Population density "
"b_zi_typeSEN",0.01322800545825,0.01191685,0.103608290140311,-0.185855025,-0.1553245,0.18209195,0.2145543,"zero-inflated","Senator"
"r_yr_wk__zi[2020_13,Intercept]",0.42687479253,0.429246,0.156402131765994,0.118014075,0.1687793,0.68538885,0.737692425,"zero-inflated","CDC (offset)"
"r_yr_wk__zi[2020_21,Intercept]",0.00134310935210001,-0.001989115,0.144923563352733,-0.27859205,-0.23704125,0.2411034,0.2876525,"zero-inflated","Biden mask (offset)"
"r_yr_wk__zi[2020_28,Intercept]",-0.3425291630125,-0.341847,0.141134023289781,-0.62395025,-0.570753,-0.107529,-0.0582701349999999,"zero-inflated","Trump mask (offset)"
"r_yr_wk__zi[2020_44,Intercept]",-0.18328520967545,-0.183427,0.155314346084574,-0.486039725,-0.4403025,0.0703854899999997,0.12037965,"zero-inflated","Election (offset)"
"r_yr_wk[2020_13,Intercept]",-0.420756512375,-0.4172725,0.132021789480166,-0.676873325,-0.64014615,-0.20416395,-0.166703225,"beta","CDC (offset)"
"r_yr_wk[2020_21,Intercept]",0.18957307969125,0.188926,0.112627632099314,-0.03197186,0.008258701,0.3729124,0.4018606,"beta","Biden mask (offset)"
"r_yr_wk[2020_28,Intercept]",0.241036918918925,0.239863,0.107217724644202,0.038765425,0.066814815,0.4206986,0.45205365,"beta","Trump mask (offset)"
"r_yr_wk[2020_44,Intercept]",0.50457745325,0.5063665,0.11437305719392,0.275149925,0.3164656,0.69148045,0.72701945,"beta","Election (offset)"
